Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
10/29/2023,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,GK,90,1,0,1,100,1,0,0,0,0,0,4,4,100,38,6,5.3,21.7,4,50,34.8,8,1,12.5,4,25.4,Match Report
11/5/2023,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,GK,90,5,1,4,80,0,1.2,0,0,0,0,1,2,50,36,3,5.6,19.9,0,,,14,0,0,3,19.3,Match Report
11/12/2023,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,GK,90,3,0,3,100,1,1,0,0,0,0,6,15,40,25,2,44,36.2,6,66.7,51.2,17,1,5.9,0,5.3,Match Report
11/16/2023,Thu,WCQ,WCQ — CONMEBOL (M),Away,L 1–2,br Brazil,co Colombia,Y,GK,90,10,2,8,80,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
11/21/2023,Tue,WCQ,WCQ — CONMEBOL (M),Home,L 0–1,br Brazil,ar Argentina,Y,GK,90,2,1,1,50,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
11/25/2023,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,GK,90,5,1,4,80,0,1.8,0,0,0,0,1,12,8.3,42,2,19,26.8,11,36.4,30.4,15,0,0,1,14,Match Report
12/9/2023,Sat,Premier League,Matchweek 16,Away,W 2–1,Liverpool,Crystal Palace,Y,GK,90,4,1,3,100,0,1.6,1,1,0,0,1,5,20,33,6,15.2,23,2,0,14.5,16,1,6.3,0,9,Match Report
12/17/2023,Sun,Premier League,Matchweek 17,Home,D 0–0,Liverpool,Manchester Utd,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,1,2,50,38,4,5.3,21,3,0,18,2,0,0,0,11,Match Report
12/23/2023,Sat,Premier League,Matchweek 18,Home,D 1–1,Liverpool,Arsenal,Y,GK,90,2,1,1,50,0,0.4,0,0,0,0,2,6,33.3,41,6,12.2,25.9,6,16.7,30,11,0,0,0,9.7,Match Report
12/26/2023,Tue,Premier League,Matchweek 19,Away,W 2–0,Liverpool,Burnley,Y,GK,90,0,0,0,,1,0,0,0,0,0,4,7,57.1,24,2,12.5,23.1,11,36.4,30.7,13,1,7.7,2,21,Match Report
1/1/2024,Mon,Premier League,Matchweek 20,Home,W 4–2,Liverpool,Newcastle Utd,Y,GK,90,3,2,1,33.3,0,1.4,0,0,0,0,2,6,33.3,43,5,11.6,23.5,4,25,30.8,5,1,20,1,19.5,Match Report
1/7/2024,Sun,FA Cup,Third round proper,Away,W 2–0,Liverpool,Arsenal,Y,GK,90,6,0,5,100,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
1/21/2024,Sun,Premier League,Matchweek 21,Away,W 4–0,Liverpool,Bournemouth,Y,GK,90,1,0,1,100,1,0.2,0,0,0,0,6,11,54.5,41,4,24.4,30,4,25,26.8,16,0,0,1,12.5,Match Report
1/28/2024,Sun,FA Cup,Fourth round proper,Home,W 5–2,Liverpool,Norwich City,Y*,GK,90,5,2,3,60,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
1/31/2024,Wed,Premier League,Matchweek 22,Home,W 4–1,Liverpool,Chelsea,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,0,5,0,42,8,11.9,26.8,1,0,28,4,0,0,0,17.5,Match Report
2/4/2024,Sun,Premier League,Matchweek 23,Away,L 1–3,Liverpool,Arsenal,Y,GK,90,7,3,4,57.1,0,1.3,0,0,0,0,2,10,20,51,2,15.7,24.3,3,66.7,48.3,6,0,0,2,16.7,Match Report
4/14/2024,Sun,Premier League,Matchweek 33,Home,L 0–1,Liverpool,Crystal Palace,Y,GK,90,4,1,3,75,0,1.2,0,0,0,0,1,3,33.3,40,8,7.5,19,1,0,27,5,0,0,0,3,Match Report
4/18/2024,Thu,Europa Lg,Quarter-finals,Away,W 1–0,eng Liverpool,it Atalanta,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,10,20,50,99,7,20.2,25.1,2,0,15,4,1,25,1,11.3,Match Report
4/21/2024,Sun,Premier League,Matchweek 34,Away,W 3–1,Liverpool,Fulham,Y,GK,90,5,1,4,80,0,1.1,0,0,0,0,0,4,0,57,9,7,22.6,2,0,19.5,12,0,0,1,37,Match Report
4/24/2024,Wed,Premier League,Matchweek 29,Away,L 0–2,Liverpool,Everton,Y,GK,90,6,2,4,66.7,0,1.5,0,0,0,0,0,2,0,23,5,8.7,22.2,3,0,16.7,8,0,0,3,30.3,Match Report
4/27/2024,Sat,Premier League,Matchweek 35,Away,D 2–2,Liverpool,West Ham,Y,GK,90,8,2,6,75,0,2.6,0,0,0,0,0,3,0,28,4,10.7,22.7,2,0,16,14,1,7.1,1,19,Match Report
5/5/2024,Sun,Premier League,Matchweek 36,Home,W 4–2,Liverpool,Tottenham,Y,GK,90,6,2,4,66.7,0,1.9,0,0,0,0,4,7,57.1,38,11,15.8,27.8,1,100,63,10,0,0,1,15.5,Match Report
5/13/2024,Mon,Premier League,Matchweek 37,Away,D 3–3,Liverpool,Aston Villa,Y,GK,90,5,3,2,40,0,0.7,0,0,0,0,0,2,0,29,2,6.9,23.3,0,,,11,0,0,0,9.5,Match Report
5/19/2024,Sun,Premier League,Matchweek 38,Home,W 2–0,Liverpool,Wolves,Y,GK,90,2,0,2,100,1,0.8,0,0,0,0,1,3,33.3,15,1,20,24.3,4,0,22,5,0,0,1,29,Match Report
6/8/2024,Sat,Friendlies (M),Friendlies (M),Neutral,W 3–2,br Brazil,mx Mexico,Y*,GK,90,,,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
6/12/2024,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,br Brazil,us United States,Y,GK,90,,,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
6/24/2024,Mon,Copa América,Group stage,Neutral,D 0–0,br Brazil,cr Costa Rica,Y,GK,90,0,0,0,,1,0,0,0,0,0,0,0,,19,2,0,22.1,3,0,14.7,4,0,0,2,19.2,Match Report
6/28/2024,Fri,Copa América,Group stage,Neutral,W 4–1,br Brazil,py Paraguay,Y,GK,90,6,1,5,83.3,0,0.9,0,0,0,0,0,1,0,25,7,0,21,8,12.5,28.8,12,0,0,0,9,Match Report
8/6/2022,Sat,Premier League,Matchweek 1,Away,D 2–2,Liverpool,Fulham,Y,GK,90,3,2,1,66.7,0,1.2,1,1,0,0,1,4,25,30,6,10,21.9,5,20,29.8,15,0,0,3,23,Match Report
8/15/2022,Mon,Premier League,Matchweek 2,Home,D 1–1,Liverpool,Crystal Palace,Y,GK,90,3,1,2,66.7,0,1,0,0,0,0,1,5,20,27,4,14.8,24.3,5,20,27.6,6,0,0,0,17.5,Match Report
8/22/2022,Mon,Premier League,Matchweek 3,Away,L 1–2,Liverpool,Manchester Utd,Y,GK,90,5,2,3,60,0,3.1,0,0,0,0,5,7,71.4,40,8,17.5,24,4,0,16.3,5,0,0,4,28,Match Report
8/27/2022,Sat,Premier League,Matchweek 4,Home,W 9–0,Liverpool,Bournemouth,Y,GK,90,2,0,2,100,1,0.6,0,0,0,0,1,3,33.3,22,5,9.1,25.3,3,33.3,31,5,0,0,4,35.5,Match Report
8/31/2022,Wed,Premier League,Matchweek 5,Home,W 2–1,Liverpool,Newcastle Utd,Y,GK,90,2,1,1,50,0,0.9,0,0,0,0,5,15,33.3,39,9,35.9,31.4,6,16.7,27.7,5,1,20,3,23.2,Match Report
9/3/2022,Sat,Premier League,Matchweek 6,Away,D 0–0,Liverpool,Everton,Y,GK,90,3,0,3,100,1,0.9,0,0,0,0,6,8,75,20,4,30,32.4,8,25,32.3,13,0,0,1,12.8,Match Report
9/7/2022,Wed,Champions Lg,Group stage,Away,L 1–4,eng Liverpool,it Napoli,Y,GK,90,8,4,3,62.5,0,5.6,2,1,1,0,2,5,40,30,6,10,24.1,5,40,37.8,2,1,50,4,23.7,Match Report
9/13/2022,Tue,Champions Lg,Group stage,Home,W 2–1,eng Liverpool,nl Ajax,Y,GK,90,1,1,0,0,0,0.5,0,0,0,0,8,9,88.9,37,3,21.6,26.3,3,33.3,39.3,3,1,33.3,2,19.8,Match Report
9/23/2022,Fri,Friendlies (M),Friendlies (M),Neutral,W 3–0,br Brazil,gh Ghana,Y,GK,90,,,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
9/27/2022,Tue,Friendlies (M),Friendlies (M),Neutral,W 5–1,br Brazil,tn Tunisia,Y,GK,90,,,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
10/1/2022,Sat,Premier League,Matchweek 9,Home,D 3–3,Liverpool,Brighton,Y,GK,90,6,3,3,50,0,2.6,0,0,0,0,2,6,33.3,30,7,20,28.1,1,0,16,10,0,0,1,15.3,Match Report
10/4/2022,Tue,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,sct Rangers,Y,GK,90,1,0,1,100,1,0.7,0,0,0,0,4,9,44.4,22,3,36.4,31.8,6,16.7,26.8,1,1,100,1,19,Match Report
10/9/2022,Sun,Premier League,Matchweek 10,Away,L 2–3,Liverpool,Arsenal,Y,GK,90,7,3,4,71.4,0,2.8,1,1,0,0,3,9,33.3,42,10,16.7,29.2,3,66.7,53.3,8,1,12.5,1,10,Match Report
10/12/2022,Wed,Champions Lg,Group stage,Away,W 7–1,eng Liverpool,sct Rangers,Y,GK,90,2,1,1,50,0,0.5,0,0,0,0,1,4,25,34,4,11.8,23.9,2,0,16.5,12,1,8.3,1,13.8,Match Report
10/16/2022,Sun,Premier League,Matchweek 11,Home,W 1–0,Liverpool,Manchester City,Y,GK,90,6,0,6,100,1,1.3,0,0,0,0,4,10,40,37,6,21.6,29.4,7,28.6,35.4,21,1,4.8,2,20,Match Report
10/19/2022,Wed,Premier League,Matchweek 12,Home,W 1–0,Liverpool,West Ham,Y,GK,90,3,0,2,100,1,2.1,1,0,1,0,2,7,28.6,30,3,16.7,27.8,6,33.3,37.3,8,1,12.5,0,10.5,Match Report
10/22/2022,Sat,Premier League,Matchweek 13,Away,L 0–1,Liverpool,Nott'ham Forest,Y,GK,90,7,1,6,85.7,0,2.9,0,0,0,0,1,1,100,23,7,4.3,22.7,1,0,22,8,0,0,0,15,Match Report
10/26/2022,Wed,Champions Lg,Group stage,Away,W 3–0,eng Liverpool,nl Ajax,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,4,4,100,30,6,13.3,24.5,7,0,17,10,1,10,1,14,Match Report
10/29/2022,Sat,Premier League,Matchweek 14,Home,L 1–2,Liverpool,Leeds United,Y,GK,90,6,2,4,66.7,0,1.7,0,0,0,0,7,10,70,36,8,27.8,27.3,5,0,18.6,13,1,7.7,2,15.6,Match Report
11/1/2022,Tue,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,it Napoli,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,4,12,33.3,38,4,23.7,30.3,6,50,46.7,10,1,10,0,11,Match Report
11/6/2022,Sun,Premier League,Matchweek 15,Away,W 2–1,Liverpool,Tottenham,Y,GK,90,5,1,4,80,0,2.1,0,0,0,0,6,17,35.3,34,8,29.4,31.3,10,70,50.1,24,0,0,4,18.9,Match Report
11/12/2022,Sat,Premier League,Matchweek 16,Home,W 3–1,Liverpool,Southampton,Y,GK,90,5,1,4,80,0,1.2,0,0,0,0,2,5,40,31,4,16.1,25.2,9,0,16.7,10,0,0,0,13.7,Match Report
11/24/2022,Thu,World Cup,Group stage,Neutral,W 2–0,br Brazil,rs Serbia,Y,GK,90,0,0,0,,1,0,0,0,0,0,2,6,33.3,18,5,22.2,26.8,6,33.3,28.5,11,0,0,3,27,Match Report
11/28/2022,Mon,World Cup,Group stage,Neutral,W 1–0,br Brazil,ch Switzerland,Y,GK,90,0,0,0,,1,0,0,0,0,0,1,3,33.3,15,2,20,28.2,2,0,23.5,8,0,0,2,19.3,Match Report
12/5/2022,Mon,World Cup,Round of 16,Neutral,W 4–1,br Brazil,kr Korea Republic,Y,GK,79,6,1,5,83.3,,1.6,,,,,,2,,18,2,11.1,19.6,4,0,17,9,,,1,22,Match Report
12/9/2022,Fri,World Cup,Quarter-finals,Neutral,D 1 (2)–1 (4),br Brazil,hr Croatia,Y,GK,120,1,1,0,0,0,0.3,0,0,0,0,2,3,66.7,23,3,4.3,20.6,7,28.6,28.6,16,0,0,1,18.5,Match Report
12/26/2022,Mon,Premier League,Matchweek 17,Away,W 3–1,Liverpool,Aston Villa,Y,GK,90,6,1,5,83.3,0,1.7,0,0,0,0,2,4,50,29,8,13.8,27.6,3,0,27,16,0,0,1,21,Match Report
12/30/2022,Fri,Premier League,Matchweek 18,Home,W 2–1,Liverpool,Leicester City,Y,GK,90,2,1,1,50,0,1.4,0,0,0,0,6,9,66.7,37,5,21.6,30.6,6,16.7,37.2,8,0,0,4,24.6,Match Report
1/2/2023,Mon,Premier League,Matchweek 19,Away,L 1–3,Liverpool,Brentford,Y,GK,90,7,3,5,57.1,0,2.3,0,0,0,0,2,7,28.6,29,5,20.7,27.3,4,25,30.5,12,0,0,3,26.6,Match Report
1/7/2023,Sat,FA Cup,Third round proper,Home,D 2–2,Liverpool,Wolves,Y,GK,90,5,2,3,60,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
1/14/2023,Sat,Premier League,Matchweek 20,Away,L 0–3,Liverpool,Brighton,Y,GK,90,8,3,5,62.5,0,2.1,0,0,0,0,3,7,42.9,28,9,25,26.9,4,0,17.8,15,1,6.7,3,19.2,Match Report
1/21/2023,Sat,Premier League,Matchweek 21,Home,D 0–0,Liverpool,Chelsea,Y,GK,90,2,0,2,100,1,0.1,0,0,0,0,1,5,20,40,7,7.5,24.7,11,18.2,25.5,13,2,15.4,2,13.8,Match Report
1/29/2023,Sun,FA Cup,Fourth round proper,Away,L 1–2,Liverpool,Brighton,Y,GK,90,5,2,3,60,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2/4/2023,Sat,Premier League,Matchweek 22,Away,L 0–3,Liverpool,Wolves,Y,GK,90,5,3,3,40,0,1.7,0,0,0,0,0,1,0,31,3,3.2,17.1,4,0,13.5,2,0,0,2,33,Match Report
2/13/2023,Mon,Premier League,Matchweek 23,Home,W 2–0,Liverpool,Everton,Y,GK,90,1,0,1,100,1,0.2,0,0,0,0,1,2,50,29,6,3.4,18.1,4,25,24.8,8,1,12.5,0,10,Match Report
2/18/2023,Sat,Premier League,Matchweek 24,Away,W 2–0,Liverpool,Newcastle Utd,Y,GK,90,4,0,4,100,1,1.4,0,0,0,0,0,6,0,32,6,15.6,28.1,7,14.3,29.4,14,2,14.3,2,16,Match Report
2/21/2023,Tue,Champions Lg,Round of 16,Home,L 2–5,eng Liverpool,es Real Madrid,Y,GK,90,6,5,1,16.7,0,2.8,0,0,0,0,2,3,66.7,25,4,8,22.2,4,25,33.3,8,1,12.5,0,10.7,Match Report
2/25/2023,Sat,Premier League,Matchweek 25,Away,D 0–0,Liverpool,Crystal Palace,Y,GK,90,0,0,0,,1,0,0,0,0,0,6,9,66.7,47,5,14.9,23.9,10,20,28.4,17,1,5.9,6,22.6,Match Report
3/1/2023,Wed,Premier League,Matchweek 7,Home,W 2–0,Liverpool,Wolves,Y,GK,90,1,0,1,100,1,0.3,0,0,0,0,4,8,50,43,6,14,23.9,3,66.7,37,7,0,0,0,16,Match Report
3/5/2023,Sun,Premier League,Matchweek 26,Home,W 7–0,Liverpool,Manchester Utd,Y,GK,90,4,0,4,100,1,1.1,0,0,0,0,6,14,42.9,45,7,28.9,31.4,6,16.7,28.3,13,2,15.4,0,11,Match Report
3/11/2023,Sat,Premier League,Matchweek 27,Away,L 0–1,Liverpool,Bournemouth,Y,GK,90,2,1,1,50,0,0.5,0,0,0,0,0,2,0,32,4,6.3,22.2,6,0,24.2,9,0,0,2,27.3,Match Report
3/15/2023,Wed,Champions Lg,Round of 16,Away,L 0–1,eng Liverpool,es Real Madrid,Y,GK,90,7,1,6,85.7,0,2.3,0,0,0,0,3,5,60,19,6,21.1,30.9,4,25,33.8,10,0,0,1,22,Match Report
4/1/2023,Sat,Premier League,Matchweek 29,Away,L 1–4,Liverpool,Manchester City,Y,GK,90,8,4,4,50,0,3.9,0,0,0,0,4,9,44.4,39,4,20.5,25.2,4,25,36.3,12,1,8.3,0,6.5,Match Report
4/4/2023,Tue,Premier League,Matchweek 8,Away,D 0–0,Liverpool,Chelsea,Y,GK,90,2,0,2,100,1,1,0,0,0,0,3,10,30,38,0,15.8,27.2,9,44.4,32.9,10,1,10,1,14.8,Match Report
4/9/2023,Sun,Premier League,Matchweek 30,Home,D 2–2,Liverpool,Arsenal,Y,GK,90,5,2,3,60,0,2.6,0,0,0,0,8,15,53.3,55,4,25.5,29.4,6,16.7,27,8,2,25,5,18.6,Match Report
4/17/2023,Mon,Premier League,Matchweek 31,Away,W 6–1,Liverpool,Leeds United,Y,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,1,3,33.3,24,5,8.3,22,4,25,29.3,13,0,0,3,25,Match Report
4/22/2023,Sat,Premier League,Matchweek 32,Home,W 3–2,Liverpool,Nott'ham Forest,Y,GK,90,5,2,3,60,0,0.8,0,0,0,0,2,6,33.3,30,8,13.3,28,7,28.6,31.7,9,3,33.3,2,15,Match Report
4/26/2023,Wed,Premier League,Matchweek 33,Away,W 2–1,Liverpool,West Ham,Y,GK,90,2,1,1,50,0,0.1,0,0,0,0,3,13,23.1,40,5,20,28.8,8,62.5,43.1,13,1,7.7,2,16.3,Match Report
4/30/2023,Sun,Premier League,Matchweek 34,Home,W 4–3,Liverpool,Tottenham,Y,GK,90,6,3,3,50,0,1.2,0,0,0,0,7,17,41.2,44,4,34.1,33.1,3,66.7,48.7,7,0,0,4,19,Match Report
5/3/2023,Wed,Premier League,Matchweek 28,Home,W 1–0,Liverpool,Fulham,Y,GK,90,3,0,3,100,1,1.5,0,0,0,0,1,3,33.3,36,2,5.6,23.6,3,33.3,37.7,14,0,0,3,28,Match Report
5/6/2023,Sat,Premier League,Matchweek 35,Home,W 1–0,Liverpool,Brentford,Y,GK,90,1,0,1,100,1,0,0,0,0,0,3,15,20,27,7,40.7,37.4,5,80,53.6,12,0,0,3,21.5,Match Report
5/15/2023,Mon,Premier League,Matchweek 36,Away,W 3–0,Liverpool,Leicester City,Y,GK,90,4,0,4,100,1,1.2,0,0,0,0,3,6,50,40,7,12.5,23.5,1,100,56,6,1,16.7,7,23.3,Match Report
5/20/2023,Sat,Premier League,Matchweek 37,Home,D 1–1,Liverpool,Aston Villa,Y,GK,90,3,1,2,66.7,0,0.6,1,0,0,1,4,5,80,20,4,25,28.9,2,0,23.5,8,0,0,9,24.3,Match Report

